AcceptedSymbol,SynonymSymbol,ScientificName,CommonName
"ACSA3","","Acer saccharum Marshall","sugar maple"
"ACSP2","","Acer spicatum Lam.","mountain maple"
"ACMI2","","Achillea millefolium L.","common yarrow"
"ACMIO","","Achillea millefolium L. var. occidentalis DC.","western yarrow"
"ACHY","","Achnatherum hymenoides (Roem. & Schult.) Barkworth","Indian ricegrass"
"ACLEL","","Achnatherum lemmonii (Vasey) Barkworth var. lemmonii ","Lemmon's needlegrass"
"ACLE9","","Achnatherum lettermanii (Vasey) Barkworth","Letterman's needlegrass"
"ACNED","","Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth","Dore's needlegrass"
"ACOCO","","Achnatherum occidentale (Thurb.) Barkworth ssp. occidentale ","western needlegrass"
"ACSP12","","Achnatherum speciosum (Trin. & Rupr.) Barkworth","desert needlegrass"
"ACTH7","","Achnatherum thurberianum (Piper) Barkworth","Thurber's needlegrass"
"ACOPR","","Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen","oppositeleaf spotflower"
"ACCO4","","Aconitum columbianum Nutt.","Columbian monkshood"
"ACAM","","Acorus americanus (Raf.) Raf.","sweetflag"
"ACCA4","","Acorus calamus L.","calamus"
"ADFA","","Adenostoma fasciculatum Hook. & Arn.","chamise"
"ADCA","","Adiantum capillus-veneris L.","common maidenhair"
"ADPE","","Adiantum pedatum L.","northern maidenhair"
"AECA","","Aesculus californica (Spach) Nutt.","California buckeye"
"AEFL","","Aesculus flava Aiton","yellow buckeye"
"AEGL","","Aesculus glabra Willd.","Ohio buckeye"
"AEPA","","Aesculus pavia L.","red buckeye"
"AESY","","Aesculus sylvatica W. Bartram","painted buckeye"
"AGPA2","","Agastache parvifolia Eastw.","smallleaf giant hyssop"
"AGUR","","Agastache urticifolia (Benth.) Kuntze","nettleleaf giant hyssop"
"AGAM","","Agave americana L.","American century plant"
"AGUT","","Agave utahensis Engelm.","Utah agave"
"AGAU2","","Agoseris aurantiaca (Hook.) Greene","orange agoseris"
"AGGL","","Agoseris glauca (Pursh) Raf.","pale agoseris"
"AGGR","","Agoseris grandiflora (Nutt.) Greene","bigflower agoseris"
"AGGR2","","Agrimonia gryposepala Wallr.","tall hairy agrimony"
"AGPA6","","Agrimonia parviflora Aiton","harvestlice"
"AGRO3","","Agrimonia rostellata Wallr.","beaked agrimony"
"AGST","","Agrimonia striata Michx.","roadside agrimony"
"AGCR","","Agropyron cristatum (L.) Gaertn.","crested wheatgrass"
"AGDE2","","Agropyron desertorum (Fisch. ex Link) Schult.","desert wheatgrass"
"AGFR","","Agropyron fragile (Roth) P. Candargy","Siberian wheatgrass"
"AGCA4","","Agrostis canina L.","velvet bentgrass"
"AGCA5","","Agrostis capillaris L.","colonial bentgrass"
"AGEX","","Agrostis exarata Trin.","spike bentgrass"
"AGGI2","","Agrostis gigantea Roth","redtop"
"AGHY","","Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.","winter bentgrass"
"AGID","","Agrostis idahoensis Nash","Idaho bentgrass"
"AGPA8","","Agrostis pallens Trin.","seashore bentgrass"
"AGPE","","Agrostis perennans (Walter) Tuck.","upland bentgrass"
"AGSC5","","Agrostis scabra Willd.","rough bentgrass"
"AGST2","","Agrostis stolonifera L.","creeping bentgrass"
"AIAL","","Ailanthus altissima (Mill.) Swingle","tree of heaven"
"AJRE","","Ajuga reptans L.","common bugle"
"ALJU","","Albizia julibrissin Durazz.","silktree"
"ALLA","","Alchornea latifolia Sw.","achiotillo"
"ALMO","ALMO2","Aleurites moluccana (L.) Willd., orth. var. ","Indian walnut"
"ALMO","","Aleurites moluccanus (L.) Willd.","Indian walnut"
"ALGR","","Alisma gramineum Lej.","narrowleaf water plantain"
"ALPL","","Alisma plantago-aquatica L.","European water plantain"
"ALSU","","Alisma subcordatum Raf.","American water plantain"
"ALAC4","","Allium acuminatum Hook.","tapertip onion"
"ALDO","","Allium douglasii Hook.","Douglas' onion"
"ALTE","","Allium textile A. Nelson & J.F. Macbr.","textile onion"
"ALTO","","Allium tolmiei (Hook.) Baker ex S. Watson","Tolmie's onion"
"ALVA","","Allium validum S. Watson","Pacific onion"
"ALGL2","","Alnus glutinosa (L.) Gaertn.","European alder"
"ALIN2","","Alnus incana (L.) Moench","gray alder"
"ALINR","","Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen","speckled alder"
"ALINT","","Alnus incana (L.) Moench ssp. tenuifolia (Nutt.) Breitung","thinleaf alder"
"ALMA7","","Alnus maritima (Marshall) Muhl. ex Nutt.","seaside alder"
"ALRH2","","Alnus rhombifolia Nutt.","white alder"
"ALRU2","","Alnus rubra Bong.","red alder"
"ALSE2","","Alnus serrulata (Aiton) Willd.","hazel alder"
"ALVIC","","Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill","mountain alder"
"ALVIS","","Alnus viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve","Sitka alder"
"ALAE","","Alopecurus aequalis Sobol.","shortawn foxtail"
"ALMA8","ALAL2","Alopecurus alpinus Sm.","Alpine Meadow-Foxtail"
"ALAR","","Alopecurus arundinaceus Poir.","creeping meadow foxtail"
"ALCA4","","Alopecurus carolinianus Walter","Carolina foxtail"
"ALGE2","","Alopecurus geniculatus L.","water foxtail"
"ALMA8","","Alopecurus magellanicus Lam.","Alpine Meadow-Foxtail"
"ALMY","","Alopecurus myosuroides Huds.","slender meadow foxtail"
"ALPR3","","Alopecurus pratensis L.","meadow foxtail"
"ALPH","","Alternanthera philoxeroides (Mart.) Griseb.","alligatorweed"
"AMCA","","Amaranthus californicus (Moq.) S. Watson","California amaranth"
"AMTU","AMRU","Amaranthus rudis Sauer","roughfruit amaranth"
"AMTU","","Amaranthus tuberculatus (Moq.) Sauer","roughfruit amaranth"
"AMDU2","","Ambrosia dumosa (A. Gray) Payne","burrobush"
"AMAL2","","Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.","Saskatoon serviceberry"
"AMALS","","Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. semiintegrifolia (Hook.) C.L. Hitchc.","Saskatoon serviceberry"
"AMAR3","","Amelanchier arborea (Michx. f.) Fernald","common serviceberry"
"AMCA4","","Amelanchier canadensis (L.) Medik.","Canadian serviceberry"
"AMLA","","Amelanchier laevis Wiegand","Allegheny serviceberry"
"AMOB2","","Amelanchier obovalis (Michx.) Ashe","coastal serviceberry"
"AMSA","","Amelanchier sanguinea (Pursh) DC.","roundleaf serviceberry"
"AMUT","","Amelanchier utahensis Koehne","Utah serviceberry"
"AMUTU","","Amelanchier utahensis Koehne var. utahensis ","Utah serviceberry"
"AMCO","","Ammannia coccinea Rottb.","valley redstem"
"AMAR4","","Ammophila arenaria (L.) Link","European beachgrass"
"AMBR","","Ammophila breviligulata Fernald","American beachgrass"
"AMCA6","","Amorpha canescens Pursh","leadplant"
"AMFR","","Amorpha fruticosa L.","false indigo bush"
"AMGL2","","Amorpha glabra Desf. ex Poir.","mountain false indigo"
"NEAR5","AMAR5","Ampelopsis arborea (L.) Koehne","peppervine"
"AMCO2","","Ampelopsis cordata Michx.","heartleaf peppervine"
"AMLY","","Amsinckia lycopsoides Lehm.","tarweed fiddleneck"
"AMEL","","Amyris elemifera L.","sea torchwood"
"ANCO30","","Ananas comosus (L.) Merr.","pineapple"
"ANMA","","Anaphalis margaritacea (L.) Benth.","western pearly everlasting"
"ANIN","","Andira inermis (W. Wright) Kunth ex DC.","cabbagebark tree"
"ANGE","","Andropogon gerardii Vitman","big bluestem"
"ANGL2","","Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.","bushy bluestem"
"ANHA","","Andropogon hallii Hack.","sand bluestem"
"ANTE2","","Andropogon ternarius Michx.","splitbeard bluestem"
"ANVI2","","Andropogon virginicus L.","broomsedge bluestem"
"ANMU","","Anemone multifida Poir.","Pacific anemone"
"ANCA10","","Anemopsis californica (Nutt.) Hook. & Arn.","yerba mansa"
"ANAR3","","Angelica arguta Nutt.","Lyall's angelica"
"ANTH2","","Anisacanthus thurberi (Torr.) A. Gray","Thurber's desert honeysuckle"
"ANGL4","","Annona glabra L.","pond apple"
"ANMU2","","Annona muricata L.","soursop"
"ANRE","","Annona reticulata L.","custard apple"
"ANSQ","","Annona squamosa L.","sugar apple"
"ANAN2","","Antennaria anaphaloides Rydb.","pearly pussytoes"
"ANCO","","Antennaria corymbosa E.E. Nelson","flat-top pussytoes"
"ANDI2","","Antennaria dimorpha (Nutt.) Torr. & A. Gray","low pussytoes"
"ANLU2","","Antennaria luzuloides Torr. & A. Gray","rush pussytoes"
"ANMI3","","Antennaria microphylla Rydb.","littleleaf pussytoes"
"ANNE","","Antennaria neglecta Greene","field pussytoes"
"APAM","","Apios americana Medik.","groundnut"
"APCA","","Apocynum cannabinum L.","Indianhemp"
"AQCO","AQCA2","Aquilegia caerulea James, orth. var. ","Colorado blue columbine"
"AQCO","","Aquilegia coerulea James","Colorado blue columbine"
"AQFO","","Aquilegia formosa Fisch. ex DC.","western columbine"
"ARDI2","","Arabis ×divaricarpa A. Nelson (pro sp.) [drummondii × holboellii]","spreadingpod rockcress"
"ARDR","","Arabis drummondii A. Gray","Drummond's rockcress"
"ARHO2","","Arabis holboellii Hornem.","Holboell's rockcress"
"ARHA10","","Arachis hagenbeckii Harms","rhizoma peanut"
"ARNU2","","Aralia nudicaulis L.","wild sarsaparilla"
"ARSP2","","Aralia spinosa L.","devil's walkingstick"
"ARHE12","","Araucaria heterophylla (Salisb.) Franco","Norfolk Island pine"
"ARAR2","","Arbutus arizonica (A. Gray) Sarg.","Arizona madrone"
"ARME","","Arbutus menziesii Pursh","Pacific madrone"
"ARLA2","","Arctagrostis latifolia (R. Br.) Griseb.","wideleaf polargrass"
"ARFU2","","Arctophila fulva (Trin.) Rupr. ex Andersson","pendantgrass"
"ARAL2","","Arctostaphylos alpina (L.) Spreng.","alpine bearberry"
"ARCO3","","Arctostaphylos columbiana Piper","hairy manzanita"
"ARGL4","","Arctostaphylos glauca Lindl.","bigberry manzanita"
"ARMA","","Arctostaphylos manzanita Parry","whiteleaf manzanita"
"ARNE","","Arctostaphylos nevadensis A. Gray","pinemat manzanita"
"ARPA6","","Arctostaphylos patula Greene","greenleaf manzanita"
"ARPU5","","Arctostaphylos pungens Kunth","pointleaf manzanita"
"ARUV","","Arctostaphylos uva-ursi (L.) Spreng.","kinnikinnick"
"ARKI","","Arenaria kingii (S. Watson) M.E. Jones","King's sandwort"
"ARPLP","","Argemone pleiacantha Greene ssp. pinnatisecta G.B. Ownbey","southwestern pricklypoppy"
"ARPO2","","Argemone polyanthemos (Fedde) G.B. Ownbey","crested pricklypoppy"
"ARAN7","","Argentina anserina (L.) Rydb.","silverweed cinquefoil"
"ARTR","","Arisaema triphyllum (L.) Schott","Jack in the pulpit"
"ARAR6","","Aristida arizonica Vasey","Arizona threeawn"
"ARDI5","","Aristida divaricata Humb. & Bonpl. ex Willd.","poverty threeawn"
"ARPUL","","Aristida purpurea Nutt. var. longiseta (Steud.) Vasey","Fendler threeawn"
"ARST5","","Aristida stricta Michx.","pineland threeawn"
"ARMA6","","Armeria maritima (Mill.) Willd.","thrift seapink"
"ARDI7","","Arnica ×diversifolia Greene (pro sp.) [amplexicaulis or mollis × cordifolia or latifolia]","rayless arnica"
"ARAM2","","Arnica amplexicaulis Nutt.","clasping arnica"
"ARCH3","","Arnica chamissonis Less.","Chamisso arnica"
"ARCO9","","Arnica cordifolia Hook.","heartleaf arnica"
"ARFR2","","Arnica frigida C.A. Mey. ex Iljin","snow arnica"
"ARFU3","","Arnica fulgens Pursh","foothill arnica"
"ARLA8","","Arnica latifolia Bong.","broadleaf arnica"
"ARLO6","","Arnica longifolia D.C. Eaton","spearleaf arnica"
"ARMO4","","Arnica mollis Hook.","hairy arnica"
"ARAR7","","Aronia arbutifolia (L.) Pers.","red chokeberry"
"ARME6","","Aronia melanocarpa (Michx.) Elliott","black chokeberry"
"AREL3","","Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl","tall oatgrass"
"ARAR8","","Artemisia arbuscula Nutt.","little sagebrush"
"ARAR9","","Artemisia arctica Less.","boreal sagebrush"
"ARCA13","","Artemisia cana Pursh","silver sagebrush"
"ARFR4","","Artemisia frigida Willd.","prairie sagewort"
"ARFUH","","Artemisia furcata M. Bieb. var. heterophylla (Besser) Hultén","forked wormwood"
"ARLU","","Artemisia ludoviciana Nutt.","white sagebrush"
"ARNO4","","Artemisia nova A. Nelson","black sagebrush"
"ARRI2","","Artemisia rigida (Nutt.) A. Gray","scabland sagebrush"
"ARTI","","Artemisia tilesii Ledeb.","Tilesius' wormwood"
"ARTR2","","Artemisia tridentata Nutt.","big sagebrush"
"ARTRT","","Artemisia tridentata Nutt. ssp. tridentata ","basin big sagebrush"
"ARTRV","","Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle","mountain big sagebrush"
"ARTRW8","","Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young","Wyoming big sagebrush"
"ARTR4","","Artemisia tripartita Rydb.","threetip sagebrush"
"ARAL7","","Artocarpus altilis (Parkinson) Fosberg","breadfruit"
"ARGI","","Arundinaria gigantea (Walter) Muhl.","giant cane"
"ARTE4","ARGIT8","Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure","switchcane"
"ARTE4","","Arundinaria tecta (Walter) Muhl.","switchcane"
"ARDO4","","Arundo donax L.","giant reed"
"ASIN","","Asclepias incarnata L.","swamp milkweed"
"ASSP","","Asclepias speciosa Torr.","showy milkweed"
"ASTU","","Asclepias tuberosa L.","butterfly milkweed"
"ASTR","","Asimina triloba (L.) Dunal","pawpaw"
"ASAL3","","Aster alpinus L.","alpine aster"
"ASAG2","","Astragalus agrestis Douglas ex G. Don","purple milkvetch"
"ASCA11","","Astragalus canadensis L.","Canadian milkvetch"
"ASCI4","","Astragalus cicer L.","chickpea milkvetch"
"ASCU4","","Astragalus curvicarpus (A. Heller) J.F. Macbr.","curvepod milkvetch"
"ASFI","","Astragalus filipes Torr. ex A. Gray","basalt milkvetch"
"ASLE8","","Astragalus lentiginosus Douglas ex Hook.","freckled milkvetch"
"ASMOM5","","Astragalus mollissimus Torr. var. mollissimus ","woolly locoweed"
"ASPU9","","Astragalus purshii Douglas ex Hook.","woollypod milkvetch"
"ATFI","","Athyrium filix-femina (L.) Roth","common ladyfern"
"ATAP","","Atriplex ×aptera A. Nelson (pro sp.) [canescens × nutallii]","moundscale"
"ATCA2","","Atriplex canescens (Pursh) Nutt.","fourwing saltbush"
"ATCO","","Atriplex confertifolia (Torr. & Frém.) S. Watson","shadscale saltbush"
"ATFA","","Atriplex falcata (M.E. Jones) Standl.","sickle saltbush"
"ATGA","","Atriplex gardneri (Moq.) D. Dietr.","Gardner's saltbush"
"ATLE","","Atriplex lentiformis (Torr.) S. Watson","big saltbush"
"ATNU","","Atriplex nummularia Lindl.","bluegreen saltbush"
"ATPO","","Atriplex polycarpa (Torr.) S. Watson","cattle saltbush"
"ATSE","","Atriplex semibaccata R. Br.","Australian saltbush"
"AVFA","","Avena fatua L.","wild oat"
"AVSA","","Avena sativa L.","common oat"
"AVST2","","Avena strigosa Schreb.","black oats"
"AVGE","","Avicennia germinans (L.) L.","black mangrove"
"AXCO","","Axonopus compressus (Sw.) P. Beauv.","broadleaf carpetgrass"
"BAAN","","Baccharis angustifolia Michx.","saltwater false willow"
"BAHA","","Baccharis halimifolia L.","eastern baccharis"
"BAPI","","Baccharis pilularis DC.","coyotebrush"
"BASA4","","Baccharis salicifolia (Ruiz & Pav.) Pers.","mule-fat"
"BASA2","","Baccharis sarothroides A. Gray","desertbroom"
"BARO","","Bacopa rotundifolia (Michx.) Wettst.","disk waterhyssop"
"BACA3","","Balsamorhiza careyana A. Gray","Carey's balsamroot"
"BAHO","","Balsamorhiza hookeri (Hook.) Nutt.","Hooker's balsamroot"
"BAHOH","","Balsamorhiza hookeri (Hook.) Nutt. var. hirsuta (Nutt.) A. Nelson","hairy balsamroot"
"BAMA4","","Balsamorhiza macrophylla Nutt.","cutleaf balsamroot"
"BASA3","","Balsamorhiza sagittata (Pursh) Nutt.","arrowleaf balsamroot"
"BASE2","","Balsamorhiza serrata A. Nelson & J.F. Macbr.","serrate balsamroot"
"BAVU2","","Bambusa vulgaris Schrad. ex J.C. Wendl.","common bamboo"
"BATI","","Baptisia tinctoria (L.) R. Br.","horseflyweed"
"BAAM4","","Bassia americana (S. Watson) A.J. Scott","green molly"
"BAHY","","Bassia hyssopifolia (Pall.) Kuntz","fivehorn smotherweed"
"BAPR5","","Bassia prostrata (L.) A.J. Scott","forage kochia"
"BASC5","","Bassia scoparia (L.) A.J. Scott","burningbush"
"BAMA5","","Batis maritima L.","turtleweed"
"BESY","","Beckmannia syzigachne (Steud.) Fernald","American sloughgrass"
"BEPE","","Beilschmiedia pendula (Sw.) Hemsl.","slugwood"
"BEFE","","Berberis fendleri A. Gray","Colorado barberry"
"BEJU4","","Berberis julianae C.K. Schneid.","wintergreen barberry"
"BEJU4","BEJU3","Berberis julianiae C.K. Schneid., orth. var. ","wintergreen barberry"
"BETH","","Berberis thunbergii DC.","Japanese barberry"
"BELY","","Berlandiera lyrata Benth.","lyreleaf greeneyes"
"BEER","","Berula erecta (Huds.) Coville","cutleaf waterparsnip"
"BEAL2","","Betula alleghaniensis Britton","yellow birch"
"BELE","","Betula lenta L.","sweet birch"
"BENA","","Betula nana L.","dwarf birch"
"BENI","","Betula nigra L.","river birch"
"BEOC2","","Betula occidentalis Hook.","water birch"
"BEPA","","Betula papyrifera Marshall","paper birch"
"BEPE3","","Betula pendula Roth","European white birch"
"BEPO","","Betula populifolia Marshall","gray birch"
"BEPU4","","Betula pumila L.","bog birch"
"BIAR","","Bidens aristosa (Michx.) Britton","bearded beggarticks"
"BICE","","Bidens cernua L.","nodding beggartick"
"BICO5","","Bidens connata Muhl. ex Willd.","purplestem beggarticks"
"BICO","","Bidens coronata (L.) Britton","crowned beggarticks"
"BIDI","","Bidens discoidea (Torr. & A. Gray) Britton","small beggarticks"
"BIFR","","Bidens frondosa L.","devil's beggartick"
"BILA","","Bidens laevis (L.) Britton, Sterns & Poggenb.","smooth beggartick"
"BIMI","","Bidens mitis (Michx.) Sherff","smallfruit beggarticks"
"BITR","","Bidens tripartita L.","threelobe beggarticks"
"BLSP","","Blechnum spicant (L.) Sm.","deer fern"
"BLTR","","Blepharoneuron tricholepis (Torr.) Nash","pine dropseed"
"BOCY","","Boehmeria cylindrica (L.) Sw.","smallspike false nettle"
"BOFL3","","Bolboschoenus fluviatilis (Torr.) Soják","river bulrush"
"BOMA7","","Bolboschoenus maritimus (L.) Palla","cosmopolitan bulrush"
"BORO5","","Bolboschoenus robustus (Pursh) Soják","sturdy bulrush"
"BOAS","","Boltonia asteroides (L.) L'Hér.","white doll's daisy"
"BOFR","","Borrichia frutescens (L.) DC.","bushy seaside tansy"
"BOBA3","","Bothriochloa barbinodis (Lag.) Herter","cane bluestem"
"BOBL","","Bothriochloa bladhii (Retz.) S.T. Blake","Caucasian bluestem"
"BOISI","","Bothriochloa ischaemum (L.) Keng var. ischaemum ","yellow bluestem"
"BOISS","","Bothriochloa ischaemum (L.) Keng var. songarica (Rupr. ex Fisch. & C.A. Mey.) Celarier & Harlan","yellow bluestem"
"BOPE2","","Bothriochloa pertusa (L.) A. Camus","pitted beardgrass"
"BOSA","","Bothriochloa saccharoides (Sw.) Rydb.","silver bluestem"
"BOLA","","Botrychium lanceolatum (S.G. Gmel.) Angstr.","lanceleaf grapefern"
"BOLU","","Botrychium lunaria (L.) Sw.","common moonwort"
"BOVI","","Botrychium virginianum (L.) Sw.","rattlesnake fern"
"BOBR","","Bouteloua breviseta Vasey","gypsum grama"
"BOCU","","Bouteloua curtipendula (Michx.) Torr.","sideoats grama"
"BODA2","","Bouteloua dactyloides (Nutt.) J.T. Columbus","buffalograss"
"BOER4","","Bouteloua eriopoda (Torr.) Torr.","black grama"
"BOGR2","","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths","blue grama"
"BOHI2","","Bouteloua hirsuta Lag.","hairy grama"
"BRJU","","Brassica juncea (L.) Czern.","brown mustard"
"BRNA","","Brassica napus L.","rape"
"BRRA","","Brassica rapa L.","field mustard"
"BRMA","","Briza maxima L.","big quakinggrass"
"BRPI4","","Bromelia pinguin L.","pinguin"
"BRAN","","Bromus anomalus Rupr. ex Fourn.","nodding brome"
"BRAR5","","Bromus arvensis L.","field brome"
"BRBI2","","Bromus biebersteinii Roem. & Schult. [excluded]","meadow brome"
"BRBR5","","Bromus briziformis Fisch. & C.A. Mey.","rattlesnake brome"
"BRCA5","","Bromus carinatus Hook. & Arn.","California brome"
"BRCA6","","Bromus catharticus Vahl","rescuegrass"
"BRCI2","","Bromus ciliatus L.","fringed brome"
"BRHOH","","Bromus hordeaceus L. ssp. hordeaceus ","soft brome"
"BRIN2","","Bromus inermis Leyss.","smooth brome"
"BRKA2","","Bromus kalmii A. Gray","arctic brome"
"BRMA4","","Bromus marginatus Nees ex Steud.","mountain brome"
"BRRU2","","Bromus rubens L.","red brome"
"BRSI","","Bromus sitchensis Trin.","Alaska brome"
"BRVU","","Bromus vulgaris (Hook.) Shear","Columbia brome"
"BODA2","BUDA","Buchloe dactyloides (Nutt.) Engelm.","buffalograss"
"BUBU","","Bucida buceras L.","gregorywood"
"BUSI","","Bursera simaruba (L.) Sarg.","gumbo limbo"
"BYSP","BYCO2","Byrsonima coriacea (Sw.) DC.","doncella"
"BYSP","","Byrsonima spicata (Cav.) Kunth","doncella"
"CACA","","Cabomba caroliniana A. Gray","Carolina fanwort"
"CAGI","","Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.","bird-of-paradise shrub"
"CACA27","","Cajanus cajan (L.) Millsp.","pigeonpea"
"CABR","","Calamagrostis breweri Thurb.","shorthair reedgrass"
"CACA4","","Calamagrostis canadensis (Michx.) P. Beauv.","bluejoint"
"CACO71","","Calamagrostis coarctata Eaton","Nuttall's reedgrass"
"CARU","","Calamagrostis rubescens Buckley","pinegrass"
"CASTI3","","Calamagrostis stricta (Timm) Koeler ssp. inexpansa (A. Gray) C.W. Greene","northern reedgrass"
"CASTS5","","Calamagrostis stricta (Timm) Koeler ssp. stricta ","slimstem reedgrass"
"CALO","","Calamovilfa longifolia (Hook.) Scribn.","prairie sandreed"
"CAER","","Calliandra eriophylla Benth.","fairyduster"
"CAAM2","","Callicarpa americana L.","American beautyberry"
"CAIN2","","Callirhoe involucrata (Torr. & A. Gray) A. Gray","purple poppymallow"
"CAHE2","","Callitriche hermaphroditica L.","northern water-starwort"
"CAHE3","","Callitriche heterophylla Pursh","twoheaded water-starwort"
"CAPA52","","Callitriche palustris L.","vernal water-starwort"
"CANO9","","Callitropsis nootkatensis (D. Don) Oerst. ex D.P. Little","Alaska cedar"
"CADE27","","Calocedrus decurrens (Torr.) Florin","incense cedar"
"CAMA5","","Calochortus macrocarpus Douglas","sagebrush mariposa lily"
"CAAN22","","Calophyllum antillanum Britton","Antilles calophyllum"
"CAIN4","","Calophyllum inophyllum L.","Alexandrian laurel"
"CALE4","","Caltha leptosepala DC.","white marsh marigold"
"CAPA5","","Caltha palustris L.","yellow marsh marigold"
"CALY2","","Calycocarpum lyonii (Pursh) A. Gray","cupseed"
"HESQ","CASQ","Calycogonium squamulosum Cogn.","jusillo"
"CAQU2","","Camassia quamash (Pursh) Greene","small camas"
"CASC5","","Camassia scilloides (Raf.) Cory","Atlantic camas"
"CAAP2","","Campanula aparinoides Pursh","marsh bellflower"
"CAAM18","","Campanulastrum americanum (L.) Small","American bellflower"
"CARA2","","Campsis radicans (L.) Seem. ex Bureau","trumpet creeper"
"CAMO32","","Canadanthus modestus (Lindl.) G.L. Nesom","giant mountain aster"
"CAWI","","Canella winterana (L.) Gaertn.","wild cinnamon"
"PSOD","CAOD2","Canthium odoratum (G. Forst.) Seem.","alahe'e"
"CAAM13","","Capparis amplissima Lam.","burro blanco"
"CABA2","","Capparis baducca L.","caper"
"CACY","","Capparis cynophallophora L.","Jamaican caper"
"CAFL2","","Capparis flexuosa (L.) L.","falseteeth"
"CAHA9","","Capparis hastata Jacq.","broadleaf caper"
"CAIN5","","Capparis indica (L.) Druce","linguam"
"CASA4","","Capparis sandwichiana DC.","native caper"
"CAAR18","","Caragana arborescens Lam.","Siberian peashrub"
"CABRB","","Cardamine breweri S. Watson var. breweri ","Brewer's bittercress"
"CABU3","","Cardamine bulbosa (Schreb. ex Muhl.) Britton, Sterns & Poggenb.","bulbous bittercress"
"CACO6","","Cardamine cordifolia A. Gray","heartleaf bittercress"
"CADO","","Cardamine douglassii Britton","limestone bittercress"
"CAOL","","Cardamine oligosperma Nutt.","little western bittercress"
"CAPE3","","Cardamine pensylvanica Muhl. ex Willd.","Pennsylvania bittercress"
"CAAB5","","Carex abscondita Mack.","thicket sedge"
"CAAL5","","Carex albolutescens Schwein.","greenwhite sedge"
"CAAM8","","Carex amphibola Steud.","eastern narrowleaf sedge"
"CAAP3","","Carex aperta Boott","Columbian sedge"
"CAAQ","","Carex aquatilis Wahlenb.","water sedge"
